"Jour","Pluie","Irrigation","ETc","Apport_net_mm"
1,0,0,0.74,-0.74
2,0,0,1.184,-1.184
3,0,0,1.344,-1.344
4,12,0,1.628,10.372
5,0,0,1.168,-1.168
6,0,0,1.12,-1.12
7,0,0,1.212,-1.212
8,0,0,1.572,-1.572
9,0,0,1.448,-1.448
10,0,0,1.26,-1.26
11,18,0,1.532,16.468
12,0,0,1.448,-1.448
13,0,0,1.676,-1.676
14,0,0,1.296,-1.296
15,0,10.324,1.404,8.92
16,0,0,1.408,-1.408
17,0,0,1.168,-1.168
18,0,0,1.608,-1.608
19,0,0,1.62,-1.62
20,0,0,1.576,-1.576
21,0,0,1.54,-1.54
22,9,4.40481034482759,1.3255,12.0793103448276
23,0,0,1.65086206896552,-1.65086206896552
24,0,0,1.75048275862069,-1.75048275862069
25,0,0,1.70965517241379,-1.70965517241379
26,0,0,1.97243103448276,-1.97243103448276
27,0,0,2.22389655172414,-2.22389655172414
28,0,0,2.77198275862069,-2.77198275862069
29,0,0,2.34289655172414,-2.34289655172414
30,0,0,2.46622413793103,-2.46622413793103
31,22,0,2.44831034482759,19.5516896551724
32,0,0,1.91181034482759,-1.91181034482759
33,0,0,2.66137931034483,-2.66137931034483
34,0,0,2.792,-2.792
35,0,0,3.78368965517241,-3.78368965517241
36,0,17.7071896551724,2.89803448275862,14.8091551724138
37,0,0,3.18951724137931,-3.18951724137931
38,0,0,3.16629310344828,-3.16629310344828
39,6,0,2.80555172413793,3.19444827586207
40,0,0,3.87018965517241,-3.87018965517241
41,0,0,3.82165517241379,-3.82165517241379
42,0,0,3.95594827586207,-3.95594827586207
43,0,28.660224137931,3.32137931034483,25.3388448275862
44,0,0,4.47325862068966,-4.47325862068966
45,0,0,3.30593103448276,-3.30593103448276
46,0,0,4.34937931034483,-4.34937931034483
47,0,0,5.24651724137931,-5.24651724137931
48,0,0,3.81637931034483,-3.81637931034483
49,0,0,4.14737931034483,-4.14737931034483
50,0,16.957,4.5985,12.3585
51,0,0,4.335,-4.335
52,14,0,3.842,10.158
53,0,0,4.709,-4.709
54,0,0,4.165,-4.165
55,0,0,4.9895,-4.9895
56,0,0,4.318,-4.318
57,0,30.4365,5.6185,24.818
58,0,0,4.471,-4.471
59,0,0,4.743,-4.743
60,0,0,5.3635,-5.3635
61,0,0,4.3605,-4.3605
62,0,0,5.1425,-5.1425
63,5,0,5.7375,-0.7375
64,0,35.377,4.2925,31.0845
65,0,0,5.2445,-5.2445
66,0,0,5.321,-5.321
67,0,0,5.627,-5.627
68,0,0,4.641,-4.641
69,0,0,4.6325,-4.6325
70,0,0,5.6185,-5.6185
71,0,30.573,5.542,25.031
72,0,0,5.559,-5.559
73,0,0,5.644,-5.644
74,8,0,5.1595,2.8405
75,0,0,5.6695,-5.6695
76,0,0,5.7375,-5.7375
77,0,0,5.2615,-5.2615
78,0,41.9475,6.6215,35.326
79,0,0,5.95,-5.95
80,0,0,5.1425,-5.1425
81,0,0,6.1285,-6.1285
82,0,0,5.3295,-5.3295
83,0,0,6.273,-6.273
84,0,0,6.5025,-6.5025
85,0,5.5335,5.5335,0
