day,prec,evaporation,transpiration
1,0,0.039,0.015
2,0,0.038,0.022
3,0.142,0.04,0.029
4,0,0.041,0.038
5,0,0.041,0.046
6,2.8,0.04,0.054
7,0.087,0.039,0.063
8,0,0.038,0.071
9,0,0.036,0.08
10,0.061,0.034,0.087
11,0,0.032,0.094
12,0,0.03,0.1
13,0.034,0.028,0.106
14,0,0.027,0.112
15,0,0.025,0.117
16,0,0.023,0.121
17,0.092,0.022,0.125
18,0,0.021,0.129
19,2.2,0.02,0.132
20,0,0.019,0.135
21,0,0.019,0.138
22,0.058,0.018,0.14
23,0,0.018,0.142
24,0,0.018,0.144
25,0.11,0.017,0.146
26,0,0.017,0.148
27,0,0.017,0.149
28,0.045,0.017,0.151
29,0,0.017,0.152
30,0,0.017,0.154
